no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
199476;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;12/11/2023;73000;1;73000;40%;43800
199476;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);12/11/2023;342000;1;342000;50%;171000
199477;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;12/11/2023;159000;2;318000;40%;190800
199477;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);12/11/2023;342000;2;684000;50%;342000
199478;mic 0600507;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;12/11/2023;471000;1;471000;40%;282600
199479;mic 2012021;grendel pintu AC;grendel pintu;grendel pintu kembar;12/11/2023;56500;1;56500;30%;39550
199480;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/11/2023;283000;1;283000;40%;169800
199481;mic 2009011;handle tanam p.geser 2;handle tanam pintu geser;handle tanam pintu geser;15/11/2023;84000;2;168000;40%;100800
199481;mic 2009010;handle tanam p.geser 2;handle tanam pintu geser;handle tanam pintu geser;15/11/2023;92500;4;370000;30%;259000
199482;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;15/11/2023;54500;1;54500;30%;38150
199483;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;16/11/2023;82500;4;330000;30%;231000
199485;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;19/11/2023;54500;1;54500;30%;38150
199485;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;19/11/2023;40000;1;40000;30%;28000
199486;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;20/11/2023;56500;1;56500;30%;39550
199487;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);22/11/2023;483000;1;483000;PROMO;145000
